identifiers_isbn_10,identifiers_isbn_13,identifiers_openlibrary,links,url,number_of_pages,pagination,ebooks,subject_people,weight,subject_places,subject_times,key,cover_small,cover_medium,cover_large,by_statement,title,publish_date,table_of_contents,publish_places,subjects,authors,classifications_lc_classifications,excerpts,notes,subtitle,publishers,classifications,identifiers_librarything,identifiers_goodreads,identifiers_lccn,identifiers_oclc,cover,classifications_dewey_decimal_class,identifiers_amazon,identifiers_wikidata,identifiers_overdrive,identifiers_alibris_id,identifiers_google,identifiers_musicbrainz
0060125632,,OL5424470M,"{'title': 'Wikipedia', 'url': 'https://en.wikipedia.org/wiki/The_Dispossessed'}; {'title': 'Wikidata', 'url': 'https://www.wikidata.org/wiki/Q467720'}; {'title': 'VIAF ID: 218467810', 'url': 'https://viaf.org/viaf/218467810'}; {'title': 'Edition Phantasia (publisher, german)', 'url': 'http://www.editionphantasia.de/leguin/enteignete.html'}; {'title': 'BookBrainz', 'url': 'https://bookbrainz.org/work/39ac1387-3a71-49ee-9ab5-64284bd8e30f'}; {'title': 'inventaire.io', 'url': 'https://inventaire.io/entity/wd:Q467720'}; {'title': 'The Guardian review', 'url': 'https://www.theguardian.com/books/booksblog/2011/mar/29/hugo-award-ursula-le-guin'}; {'title': 'Why everyone should read The Dispossessed', 'url': 'https://medium.com/@ValeSalvatierra/why-everyone-should-read-the-dispossessed-eee7a55941cf'}",https://openlibrary.org/books/OL5424470M/The_Dispossessed,341.0,341 p.,"{'preview_url': 'https://archive.org/details/dispossessedambi00legu', 'availability': 'restricted', 'formats': {}}",Shevek,,,,/books/OL5424470M,https://covers.openlibrary.org/b/id/11943531-S.jpg,https://covers.openlibrary.org/b/id/11943531-M.jpg,https://covers.openlibrary.org/b/id/11943531-L.jpg,[by] Ursula K. Le Guin.,The Dispossessed,1999,,New York,"Anarchism; Anarquismo; Ciencia-ficción; Communal living; Ficción; Fiction; Fiction in English; Físicos; Hugo Award Winner; Life on other planets; Novela utópica; Physicists; Science fiction; Utopias; Vida comunal; Vida en otros planets; award:hugo_award=1975; award:hugo_award=novel; Long Now Manual for Civilization; Fiction, science fiction, general; American Science fiction; Interplanetary voyages; American literature; award:nebula_award=novel",Ursula K. Le Guin,PZ4.L518 Di; PS3562.E42 Di; PS3562.E42 D57 1975; PS3562.E42D57 1975; PS3562.E42 D5x 1974c,,,An Ambiguous Utopia,Gollancz,,21142,361523,73018667; 94132557,800587,,813/.5/4,,Q58880401,,,,
0060125683,,OL4902235M,,https://openlibrary.org/books/OL4902235M/Rocannon's_world,136.0,"ix, 136 p. ;",,,,,The Future,/books/OL4902235M,https://covers.openlibrary.org/b/id/9696149-S.jpg,https://covers.openlibrary.org/b/id/9696149-M.jpg,https://covers.openlibrary.org/b/id/9696149-L.jpg,Ursula K. Le Guin.,Rocannon's world,1977,,New York,"Fiction in English; Fiction, science fiction, general",Ursula K. Le Guin; Rafael Marín,PZ4.L518 Ro 1977; PS3562.E42 Ro 1977,,Corrected ed. with new introd. by the author.,,Harper & Row,,60182,1367540,76047250,2936048,,813/.5/4,,,,,,
0060125691,,OL4544282M,,https://openlibrary.org/books/OL4544282M/City_of_illusions,199.0,"viii, 199 p. ;",,,,,,/books/OL4544282M,https://covers.openlibrary.org/b/id/4414774-S.jpg,https://covers.openlibrary.org/b/id/4414774-M.jpg,https://covers.openlibrary.org/b/id/4414774-L.jpg,Ursula K. Le Guin.,City of illusions,1978,,New York,"Fiction, science fiction, general; Nevada, fiction",Ursula K. Le Guin,PZ4.L518 Ci 1978; PS3562.E42 Ci 1978; PZ4.L518Ci 1978,,,,Harper & Row,,31449,1213519,77011783,3516838,,813/.54,,,,,,
006012573X,,OL4401560M,,https://openlibrary.org/books/OL4401560M/The_beginning_place,183.0,183 p. ;,,,,,,/books/OL4401560M,https://covers.openlibrary.org/b/id/4393732-S.jpg,https://covers.openlibrary.org/b/id/4393732-M.jpg,https://covers.openlibrary.org/b/id/4393732-L.jpg,Ursula K. Le Guin.,The  beginning place,1980,,New York,"Science Fiction; Love stories; Fantasy fiction; Fiction, fantasy, general; Children's fiction",Ursula K. Le Guin,PS3562.E42 B4 1980; PS3562.E42B4 1980,,,,Harper & Row,,50071,769773,79002653,5605039,,813/.54,,,,,,
0060125748,,OL4401559M,,https://openlibrary.org/books/OL4401559M/The_left_hand_of_darkness,213.0,"x, 213 p. ;",,,,Winter (fictional planet),,/books/OL4401559M,https://covers.openlibrary.org/b/id/9820551-S.jpg,https://covers.openlibrary.org/b/id/9820551-M.jpg,https://covers.openlibrary.org/b/id/9820551-L.jpg,by Ursula K. Le Guin.,The  left hand of darkness,1980,,New York,"Ciencia-ficción; Hugo Award Winner; award:hugo_award=1970; award:hugo_award=novel; human nature; gender; space travel; ice age; Science fiction; American literature; Fiction, science fiction, general; LGBTQ gender identity; LGBTQ science fiction & fantasy; collection:otherwise_tiptree_award=winner; award:nebula_award=novel; Life on other planets; Fiction; American Science fiction; Extraterrestrial anthropology; Sex role; LGBTQ novels before Stonewall; Long Now Manual for Civilization",Ursula K. Le Guin,PZ4.L518 Le 1980; PS3562.E42 Le 1980; PS3562.E42.L4 1980,,"Originally published by Walker, New York.",,Harper & Row,,23117,365704,79002652,5940851; 2022664,,813/.54,,,,,,
0060149884,,OL3785762M,,https://openlibrary.org/books/OL3785762M/The_compass_rose,273.0,"viii, 273 p. ;",,,,,,/books/OL3785762M,https://covers.openlibrary.org/b/id/9387513-S.jpg,https://covers.openlibrary.org/b/id/9387513-M.jpg,https://covers.openlibrary.org/b/id/9387513-L.jpg,by Ursula K. Le Guin.,The  compass rose,1982,,New York,"American Science fiction; Science fiction; Fiction, science fiction, collections & anthologies; Fiction, science fiction, general",Ursula K. Le Guin,PS3562.E42 C6 1982; PS3562.E42C6 1982,,,short stories,Harper & Row,,1016,429941,81048158,8109967,,813/.54,,Q121541817,,,,
0060150866,,OL3506846M,,https://openlibrary.org/books/OL3506846M/The_eye_of_the_heron,179.0,179 p. ;,"{'preview_url': 'https://archive.org/details/eyeofheron0000legu', 'availability': 'restricted', 'formats': {}}",,,,,/books/OL3506846M,https://covers.openlibrary.org/b/id/4281393-S.jpg,https://covers.openlibrary.org/b/id/4281393-M.jpg,https://covers.openlibrary.org/b/id/4281393-L.jpg,Ursula K. Le Guin.,The  eye of the heron,1983,,New York,"Large type books; Outcasts; Fiction; Dreams; Life on other planets; English Short stories; Fiction, science fiction, general; Science fiction; Children's fiction; Fiction in English. American writers; 1945-; Texts; Space colonies",Ursula K. Le Guin; Virginia Kidd,PS3562.E42 E9 1983; PS3562.E42E9 1983,,,,Harper & Row,,50091,429944,82048146,8709392,,813/.54,,,,,,
006015456X,,OL2322854M,,https://openlibrary.org/books/OL2322854M/Always_coming_home,523.0,523 p. :,,,,California,,/books/OL2322854M,https://covers.openlibrary.org/b/id/9398844-S.jpg,https://covers.openlibrary.org/b/id/9398844-M.jpg,https://covers.openlibrary.org/b/id/9398844-L.jpg,"author, Ursula K. Le Guin ; composer, Todd Barton ; artist, Margaret Chodos ; George Hersh, geomancer ; maps drawn by the author.",Always coming home,1985,,New York,"Fiction; Fiction, science fiction, general; California, fiction; Fiction, fantasy, general; Imaginary places, fiction; Human beings; Anthropology; Imaginary places",Ursula K. Le Guin,PS3562.E42 A79 1985b; RYI 0179; PS3562.E42A79 1985,,Originally issued in case with sound cassette entitled: Music and poetry of the Kesh.,,Harper & Row,,52032,429939,86206557,,,813/.54,,,,,,
0060155450; 006096023X,,OL3020726M,,https://openlibrary.org/books/OL3020726M/Always_Coming_Home,523.0,523 p. ;,"{'preview_url': 'https://archive.org/details/alwayscominghome00legu', 'availability': 'restricted', 'formats': {}}",,,California,,/books/OL3020726M,https://covers.openlibrary.org/b/id/6938605-S.jpg,https://covers.openlibrary.org/b/id/6938605-M.jpg,https://covers.openlibrary.org/b/id/6938605-L.jpg,"author, Ursula K. Le Guin ; composer, Todd Barton ; artist, Margaret Chodos ; George Hersh, geomancer ; maps drawn by the author.",Always Coming Home,1985,,New York,"Fiction; Fiction, science fiction, general; California, fiction; Fiction, fantasy, general; Imaginary places, fiction; Human beings; Anthropology; Imaginary places",Ursula K. Le Guin,PS3562.E42 A79 1985; PS3562.E42A79 1985,,,,Harper & Row,,52032,1065728; 1342246,85000880,,,813/.54,,,,,,
0060155620,9780060155629,OL32318715M,,https://openlibrary.org/books/OL32318715M/Always_Coming_Home,576.0,,,,,California,,/books/OL32318715M,https://covers.openlibrary.org/b/id/10942359-S.jpg,https://covers.openlibrary.org/b/id/10942359-M.jpg,https://covers.openlibrary.org/b/id/10942359-L.jpg,,Always Coming Home,"Oct 01, 1985",,,"Fiction; Fiction, science fiction, general; California, fiction; Fiction, fantasy, general; Imaginary places, fiction; Human beings; Anthropology; Imaginary places",Ursula K. Le Guin,,,,,Harpercollins; HarperCollins,,,,,,,,,,,,,
0060167408,,OL1567762M,,https://openlibrary.org/books/OL1567762M/Searoad,193.0,193 p. :,"{'preview_url': 'https://archive.org/details/searoadchronicle00legu', 'availability': 'restricted', 'formats': {}}",,,Oregon,,/books/OL1567762M,https://covers.openlibrary.org/b/id/6560650-S.jpg,https://covers.openlibrary.org/b/id/6560650-M.jpg,https://covers.openlibrary.org/b/id/6560650-L.jpg,Ursula K. Le Guin.,Searoad,1991,,"New York, NY","Fiction; Social life and customs; Seaside resorts; Mothers and daughters; Women; Biography; Celtic Christian saints; Fiction, general; Fiction, science fiction, general",Ursula K. Le Guin,PS3562.E42 S4 1991; PS3562.E42S4 1991,,,chronicles of Klatsand,HarperCollins,,52584,429949,91055160,23463027,,813/.54,,,,,,
0060168358,,OL1568430M,,https://openlibrary.org/books/OL1568430M/The_language_of_the_night,250.0,"vi, 250 p. ;",,,,,,/books/OL1568430M,https://covers.openlibrary.org/b/id/3976669-S.jpg,https://covers.openlibrary.org/b/id/3976669-M.jpg,https://covers.openlibrary.org/b/id/3976669-L.jpg,Ursula K. Le Guin ; edited and with introductions by Susan Wood ; revised edition edited by Ursula K. Le Guin.,The  language of the night,1992,,"New York, NY","History and criticism; Fantasy fiction; Science fiction; Fantastic fiction; Science fiction, history and criticism; Fantasy fiction, history and criticism",Ursula K. Le Guin,PN3435 .L4 1992; PN3435.L4 1992,,"""Bibliographic checklist of the works of Ursula K. Le Guin, compiled by L.W. Currey"": p. 240-249.
Originally published: Rev. ed. London : Women's Press, 1989.",essays on fantasy and science fiction,HarperCollins Publishers,,50100,429983,91058377,25201022,,809.3/876,,,,,,
0060172606,,OL799743M,"{'title': 'New York Times review', 'url': 'http://www.nytimes.com/1996/03/03/books/herself-a-multitude.html'}",https://openlibrary.org/books/OL799743M/Unlocking_the_air_and_other_stories,207.0,207 p. ;,"{'preview_url': 'https://archive.org/details/unlockingairothe00legu', 'availability': 'restricted', 'formats': {}}",,,,,/books/OL799743M,https://covers.openlibrary.org/b/id/6710929-S.jpg,https://covers.openlibrary.org/b/id/6710929-M.jpg,https://covers.openlibrary.org/b/id/6710929-L.jpg,Ursula K. LeGuin.,Unlocking the air and other stories,1996,,"New York, NY","Manners and customs; American Fantasy fiction; Fiction; Fiction, fantasy, collections & anthologies; New York Times reviewed",Ursula K. Le Guin,PS3562.E42 U56 1996; PS3562.E42U56 1996,,,,HarperCollins,,169817,429936,95036012,33043324,,813/.54,,,,,,
,9780060503970,OL37383550M,"{'title': 'Wikipedia', 'url': 'https://en.wikipedia.org/wiki/The_Dispossessed'}; {'title': 'Wikidata', 'url': 'https://www.wikidata.org/wiki/Q467720'}; {'title': 'VIAF ID: 218467810', 'url': 'https://viaf.org/viaf/218467810'}; {'title': 'Edition Phantasia (publisher, german)', 'url': 'http://www.editionphantasia.de/leguin/enteignete.html'}; {'title': 'BookBrainz', 'url': 'https://bookbrainz.org/work/39ac1387-3a71-49ee-9ab5-64284bd8e30f'}; {'title': 'inventaire.io', 'url': 'https://inventaire.io/entity/wd:Q467720'}; {'title': 'The Guardian review', 'url': 'https://www.theguardian.com/books/booksblog/2011/mar/29/hugo-award-ursula-le-guin'}; {'title': 'Why everyone should read The Dispossessed', 'url': 'https://medium.com/@ValeSalvatierra/why-everyone-should-read-the-dispossessed-eee7a55941cf'}",https://openlibrary.org/books/OL37383550M/Dispossessed,,,,Shevek,,,,/books/OL37383550M,https://covers.openlibrary.org/b/id/14817257-S.jpg,https://covers.openlibrary.org/b/id/14817257-M.jpg,https://covers.openlibrary.org/b/id/14817257-L.jpg,,Dispossessed,2002,,,"Anarchism; Anarquismo; Ciencia-ficción; Communal living; Ficción; Fiction; Fiction in English; Físicos; Hugo Award Winner; Life on other planets; Novela utópica; Physicists; Science fiction; Utopias; Vida comunal; Vida en otros planets; award:hugo_award=1975; award:hugo_award=novel; Long Now Manual for Civilization; Fiction, science fiction, general; American Science fiction; Interplanetary voyages; American literature; award:nebula_award=novel",Ursula K. Le Guin,,,,An Ambiguous Utopia,HarperCollins Publishers,,,,,,,,,,,,,
,9780060503987,OL37369179M,"{'title': 'Wikipedia', 'url': 'https://en.wikipedia.org/wiki/The_Dispossessed'}; {'title': 'Wikidata', 'url': 'https://www.wikidata.org/wiki/Q467720'}; {'title': 'VIAF ID: 218467810', 'url': 'https://viaf.org/viaf/218467810'}; {'title': 'Edition Phantasia (publisher, german)', 'url': 'http://www.editionphantasia.de/leguin/enteignete.html'}; {'title': 'BookBrainz', 'url': 'https://bookbrainz.org/work/39ac1387-3a71-49ee-9ab5-64284bd8e30f'}; {'title': 'inventaire.io', 'url': 'https://inventaire.io/entity/wd:Q467720'}; {'title': 'The Guardian review', 'url': 'https://www.theguardian.com/books/booksblog/2011/mar/29/hugo-award-ursula-le-guin'}; {'title': 'Why everyone should read The Dispossessed', 'url': 'https://medium.com/@ValeSalvatierra/why-everyone-should-read-the-dispossessed-eee7a55941cf'}",https://openlibrary.org/books/OL37369179M/Dispossessed,,,,Shevek,,,,/books/OL37369179M,https://covers.openlibrary.org/b/id/14817258-S.jpg,https://covers.openlibrary.org/b/id/14817258-M.jpg,https://covers.openlibrary.org/b/id/14817258-L.jpg,,Dispossessed,2002,,,"Anarchism; Anarquismo; Ciencia-ficción; Communal living; Ficción; Fiction; Fiction in English; Físicos; Hugo Award Winner; Life on other planets; Novela utópica; Physicists; Science fiction; Utopias; Vida comunal; Vida en otros planets; award:hugo_award=1975; award:hugo_award=novel; Long Now Manual for Civilization; Fiction, science fiction, general; American Science fiction; Interplanetary voyages; American literature; award:nebula_award=novel",Ursula K. Le Guin,,,,An Ambiguous Utopia,HarperCollins Publishers,,,,,,,,,,,,,
,9780060503994,OL37365287M,"{'title': 'Wikipedia', 'url': 'https://en.wikipedia.org/wiki/The_Dispossessed'}; {'title': 'Wikidata', 'url': 'https://www.wikidata.org/wiki/Q467720'}; {'title': 'VIAF ID: 218467810', 'url': 'https://viaf.org/viaf/218467810'}; {'title': 'Edition Phantasia (publisher, german)', 'url': 'http://www.editionphantasia.de/leguin/enteignete.html'}; {'title': 'BookBrainz', 'url': 'https://bookbrainz.org/work/39ac1387-3a71-49ee-9ab5-64284bd8e30f'}; {'title': 'inventaire.io', 'url': 'https://inventaire.io/entity/wd:Q467720'}; {'title': 'The Guardian review', 'url': 'https://www.theguardian.com/books/booksblog/2011/mar/29/hugo-award-ursula-le-guin'}; {'title': 'Why everyone should read The Dispossessed', 'url': 'https://medium.com/@ValeSalvatierra/why-everyone-should-read-the-dispossessed-eee7a55941cf'}",https://openlibrary.org/books/OL37365287M/Dispossessed,,,,Shevek,,,,/books/OL37365287M,https://covers.openlibrary.org/b/id/14817259-S.jpg,https://covers.openlibrary.org/b/id/14817259-M.jpg,https://covers.openlibrary.org/b/id/14817259-L.jpg,,Dispossessed,2002,,,"Anarchism; Anarquismo; Ciencia-ficción; Communal living; Ficción; Fiction; Fiction in English; Físicos; Hugo Award Winner; Life on other planets; Novela utópica; Physicists; Science fiction; Utopias; Vida comunal; Vida en otros planets; award:hugo_award=1975; award:hugo_award=novel; Long Now Manual for Civilization; Fiction, science fiction, general; American Science fiction; Interplanetary voyages; American literature; award:nebula_award=novel",Ursula K. Le Guin,,,,An Ambiguous Utopia,HarperCollins Publishers,,,,,,,,,,,,,
,9780060504007; 9780061796883,OL24249719M,"{'title': 'Wikipedia', 'url': 'https://en.wikipedia.org/wiki/The_Dispossessed'}; {'title': 'Wikidata', 'url': 'https://www.wikidata.org/wiki/Q467720'}; {'title': 'VIAF ID: 218467810', 'url': 'https://viaf.org/viaf/218467810'}; {'title': 'Edition Phantasia (publisher, german)', 'url': 'http://www.editionphantasia.de/leguin/enteignete.html'}; {'title': 'BookBrainz', 'url': 'https://bookbrainz.org/work/39ac1387-3a71-49ee-9ab5-64284bd8e30f'}; {'title': 'inventaire.io', 'url': 'https://inventaire.io/entity/wd:Q467720'}; {'title': 'The Guardian review', 'url': 'https://www.theguardian.com/books/booksblog/2011/mar/29/hugo-award-ursula-le-guin'}; {'title': 'Why everyone should read The Dispossessed', 'url': 'https://medium.com/@ValeSalvatierra/why-everyone-should-read-the-dispossessed-eee7a55941cf'}",https://openlibrary.org/books/OL24249719M/The_Dispossessed,,,,Shevek,,,,/books/OL24249719M,https://covers.openlibrary.org/b/id/6397089-S.jpg,https://covers.openlibrary.org/b/id/6397089-M.jpg,https://covers.openlibrary.org/b/id/6397089-L.jpg,,The Dispossessed,2002,,New York,"Anarchism; Anarquismo; Ciencia-ficción; Communal living; Ficción; Fiction; Fiction in English; Físicos; Hugo Award Winner; Life on other planets; Novela utópica; Physicists; Science fiction; Utopias; Vida comunal; Vida en otros planets; award:hugo_award=1975; award:hugo_award=novel; Long Now Manual for Civilization; Fiction, science fiction, general; American Science fiction; Interplanetary voyages; American literature; award:nebula_award=novel",Ursula K. Le Guin,,,,,HarperCollins,,,,,,,,,,26998D9F-A1B5-4624-84DC-20B2CC62B0ED,,,
,9780060504014,OL37365288M,,https://openlibrary.org/books/OL37365288M/Birthday_of_the_World,,,,,,,,/books/OL37365288M,,,,,Birthday of the World,2002,,,"Fiction, general; American Science fiction; Fiction; Fiction, science fiction, general; Fiction, short stories (single author); Science fiction, fantasy, horror",Ursula K. Le Guin,,,,And Other Stories,HarperCollins Publishers,,,,,,,,,,,,,
0060509066,9780060509064,OL7277398M,,https://openlibrary.org/books/OL7277398M/The_Birthday_of_the_World,384.0,,,,,,,/books/OL7277398M,https://covers.openlibrary.org/b/id/26245-S.jpg,https://covers.openlibrary.org/b/id/26245-M.jpg,https://covers.openlibrary.org/b/id/26245-L.jpg,,The Birthday of the World,"March 4, 2003",,,"Fiction, general; American Science fiction; Fiction; Fiction, science fiction, general; Fiction, short stories (single author); Science fiction, fantasy, horror",Ursula K. Le Guin,,"{'text': 'I live in the oldest city in the world.', 'comment': '', 'first_sentence': True}",,And Other Stories,Harper Perennial,,160911,68021,,,,,,,,,,
0060512741,,OL3684800M,,https://openlibrary.org/books/OL3684800M/The_lathe_of_heaven,175.0,175 p. ;,"{'preview_url': 'https://archive.org/details/latheofheaven00legu_0', 'availability': 'restricted', 'formats': {}}",,,Portland; Oregon U.S.A.,1998 - 2002,/books/OL3684800M,https://covers.openlibrary.org/b/id/13131572-S.jpg,https://covers.openlibrary.org/b/id/13131572-M.jpg,https://covers.openlibrary.org/b/id/13131572-L.jpg,Ursula K. Le Guin.,The  lathe of heaven,2003,,New York,"Dreams; Fiction; Fiction in English; Science fiction; Dystopian fiction; Nature; Psychotherapist and patient; Social change; Effect of human beings on; Dreams -- Fiction; Fiction, science fiction, general; American literature",Ursula K. Le Guin,PS3562.E42 L3 2003; PS3562.E42L3 2003,,,,Perennial Classics,,21223,59924,2003046573,,,813/.54,,Q123400116,,,,
,9780060512750,OL48566265M,"{'title': 'Wikipedia', 'url': 'https://en.wikipedia.org/wiki/The_Dispossessed'}; {'title': 'Wikidata', 'url': 'https://www.wikidata.org/wiki/Q467720'}; {'title': 'VIAF ID: 218467810', 'url': 'https://viaf.org/viaf/218467810'}; {'title': 'Edition Phantasia (publisher, german)', 'url': 'http://www.editionphantasia.de/leguin/enteignete.html'}; {'title': 'BookBrainz', 'url': 'https://bookbrainz.org/work/39ac1387-3a71-49ee-9ab5-64284bd8e30f'}; {'title': 'inventaire.io', 'url': 'https://inventaire.io/entity/wd:Q467720'}; {'title': 'The Guardian review', 'url': 'https://www.theguardian.com/books/booksblog/2011/mar/29/hugo-award-ursula-le-guin'}; {'title': 'Why everyone should read The Dispossessed', 'url': 'https://medium.com/@ValeSalvatierra/why-everyone-should-read-the-dispossessed-eee7a55941cf'}",https://openlibrary.org/books/OL48566265M/The_Dispossessed,400.0,,,Shevek,,,,/books/OL48566265M,https://covers.openlibrary.org/b/id/14357224-S.jpg,https://covers.openlibrary.org/b/id/14357224-M.jpg,https://covers.openlibrary.org/b/id/14357224-L.jpg,,The Dispossessed,"August 19, 2003",,,"Anarchism; Anarquismo; Ciencia-ficción; Communal living; Ficción; Fiction; Fiction in English; Físicos; Hugo Award Winner; Life on other planets; Novela utópica; Physicists; Science fiction; Utopias; Vida comunal; Vida en otros planets; award:hugo_award=1975; award:hugo_award=novel; Long Now Manual for Civilization; Fiction, science fiction, general; American Science fiction; Interplanetary voyages; American literature; award:nebula_award=novel",Ursula K. Le Guin,,,,,Harper Perennial,,,,,,,,,,,,,
0060551011; 0060962275,,OL18441948M,,https://openlibrary.org/books/OL18441948M/Wild_oats_and_fireweed,90.0,90 p. ;,,,,,,/books/OL18441948M,https://covers.openlibrary.org/b/id/5419833-S.jpg,https://covers.openlibrary.org/b/id/5419833-M.jpg,https://covers.openlibrary.org/b/id/5419833-L.jpg,by Ursula K. Le Guin.,Wild oats and fireweed,1987,,New York,"Fiction, general; Poetry (poetic works by one author)",Ursula K. Le Guin,PS3562.E42 W55 1988; PS3562.E42W55 1988; PS3562.E42 W55 1987,,,,Harper & Row,,765887,3939568; 429954,87045222,123192623; 16527792,,,,,,,,
0060553561; 0060950579,,OL1432112M,,https://openlibrary.org/books/OL1432112M/Going_out_with_peacocks_and_other_poems,82.0,"xi, 82 p. ;",,,,,,/books/OL1432112M,https://covers.openlibrary.org/b/id/3945270-S.jpg,https://covers.openlibrary.org/b/id/3945270-M.jpg,https://covers.openlibrary.org/b/id/3945270-L.jpg,Ursula K. Le Guin.,Going out with peacocks and other poems,1994,,New York,"Poetry (poetic works by one author); Fiction, general",Ursula K. Le Guin,PS3562.E42 G65 1994; PS3562.E42G65 1994,,,,HarperPerennial,,388505,6451851; 429953,93043624,29428485,,811/.54,,,,,,
006076029X,,OL3308858M,,https://openlibrary.org/books/OL3308858M/Four_ways_to_forgiveness,320.0,p. cm.,,,,Werel; Yeowe,,/books/OL3308858M,https://covers.openlibrary.org/b/id/35016-S.jpg,https://covers.openlibrary.org/b/id/35016-M.jpg,https://covers.openlibrary.org/b/id/35016-L.jpg,Ursula K. Le Guin.,Four ways to forgiveness,2004,"{'level': 0, 'label': '', 'title': 'Betrayals', 'pagenum': ''}; {'level': 0, 'label': '', 'title': 'Forgiveness Day', 'pagenum': ''}; {'level': 0, 'label': '', 'title': 'A Man of the People', 'pagenum': ''}; {'level': 0, 'label': '', 'title': ""A Woman's Liberation."", 'pagenum': ''}",New York,"Fiction; American Science fiction; Women; Life on other planets in fiction; Life on other planets; Women in fiction; Ficción; Ciencia ficción estadounidense; Mujeres; Vida en otros planetas en la ficción; Vida en otros planetas; Mujeres en la ficción; Fiction, science fiction, collections & anthologies; Fiction subjects; Science fiction & fantasy",Ursula K. Le Guin,PS3562.E42 F68 2004; PS3562.E42F68 2004,"{'text': '“On the planet O there has not been a war for five thousand years,” she read, “and on Gethen there has never been a war.”', 'comment': '', 'first_sentence': True}",,,Perennial,,49968,92605,2004056667,56198548,,813/.54,,,,,,
0060763434,,OL3308860M,,https://openlibrary.org/books/OL3308860M/Orsinian_tales,216.0,p. cm.,,,,,,/books/OL3308860M,https://covers.openlibrary.org/b/id/35213-S.jpg,https://covers.openlibrary.org/b/id/35213-M.jpg,https://covers.openlibrary.org/b/id/35213-L.jpg,Ursula K. Le Guin.,Orsinian tales,2004,"{'level': 0, 'label': '', 'title': 'The fountains', 'pagenum': ''}; {'level': 0, 'label': '', 'title': 'The barrow', 'pagenum': ''}; {'level': 0, 'label': '', 'title': 'Ile forest', 'pagenum': ''}; {'level': 0, 'label': '', 'title': 'Conversations at night', 'pagenum': ''}; {'level': 0, 'label': '', 'title': 'The road east', 'pagenum': ''}; {'level': 0, 'label': '', 'title': 'Brothers and sisters', 'pagenum': ''}; {'level': 0, 'label': '', 'title': 'A week in the country', 'pagenum': ''}; {'level': 0, 'label': '', 'title': 'An die Musik', 'pagenum': ''}; {'level': 0, 'label': '', 'title': 'The house', 'pagenum': ''}; {'level': 0, 'label': '', 'title': 'The lady of Moge', 'pagenum': ''}; {'level': 0, 'label': '', 'title': 'Imaginary countries.', 'pagenum': ''}",New York,"American Fantasy fiction; English Short stories; Fantasy fiction, American; Fiction, science fiction, short stories; Fiction, fantasy, collections & anthologies",Ursula K. Le Guin,PS3562.E42 O75 2004; PS3562.E42O75 2004,,,stories,Perennial,,50033,92623,2004056669,56194722,,813/.54,,,,,,
0060763515,,OL3309169M,,https://openlibrary.org/books/OL3309169M/A_Fisherman_of_the_Inland_Sea,,p. cm.,"{'preview_url': 'https://archive.org/details/fishermanofinlan00legu_0', 'availability': 'restricted', 'formats': {}}",,,,,/books/OL3309169M,https://covers.openlibrary.org/b/id/35225-S.jpg,https://covers.openlibrary.org/b/id/35225-M.jpg,https://covers.openlibrary.org/b/id/35225-L.jpg,Ursula K. Le Guin.,A Fisherman of the Inland Sea,2005,,New York,"American Science fiction; Science fiction, American; Short stories; Fiction, science fiction, general; Fiction, short stories (single author); Fiction, general; Fiction, science fiction, collections & anthologies; Science fiction; American literature",Ursula K. Le Guin,PS3562.E42 F57 2005; PS3562.E42F57 2005,,,Stories,Perennial,,52000,68022,2004057290,56532615,,813/.54,,,,,,
,9780060771393,OL37373258M,"{'title': 'Wikipedia', 'url': 'https://en.wikipedia.org/wiki/The_Dispossessed'}; {'title': 'Wikidata', 'url': 'https://www.wikidata.org/wiki/Q467720'}; {'title': 'VIAF ID: 218467810', 'url': 'https://viaf.org/viaf/218467810'}; {'title': 'Edition Phantasia (publisher, german)', 'url': 'http://www.editionphantasia.de/leguin/enteignete.html'}; {'title': 'BookBrainz', 'url': 'https://bookbrainz.org/work/39ac1387-3a71-49ee-9ab5-64284bd8e30f'}; {'title': 'inventaire.io', 'url': 'https://inventaire.io/entity/wd:Q467720'}; {'title': 'The Guardian review', 'url': 'https://www.theguardian.com/books/booksblog/2011/mar/29/hugo-award-ursula-le-guin'}; {'title': 'Why everyone should read The Dispossessed', 'url': 'https://medium.com/@ValeSalvatierra/why-everyone-should-read-the-dispossessed-eee7a55941cf'}",https://openlibrary.org/books/OL37373258M/Dispossessed,,,,Shevek,,,,/books/OL37373258M,https://covers.openlibrary.org/b/id/14817260-S.jpg,https://covers.openlibrary.org/b/id/14817260-M.jpg,https://covers.openlibrary.org/b/id/14817260-L.jpg,,Dispossessed,2004,,,"Anarchism; Anarquismo; Ciencia-ficción; Communal living; Ficción; Fiction; Fiction in English; Físicos; Hugo Award Winner; Life on other planets; Novela utópica; Physicists; Science fiction; Utopias; Vida comunal; Vida en otros planets; award:hugo_award=1975; award:hugo_award=novel; Long Now Manual for Civilization; Fiction, science fiction, general; American Science fiction; Interplanetary voyages; American literature; award:nebula_award=novel",Ursula K. Le Guin,,,,An Ambiguous Utopia,HarperCollins Publishers,,,,,,,,,,,,,
